  Step    350/478 | ELBO Loss:  12.06 | CE: 5.919 | LR: 1.14e-04 |   0.6 st/s |    75,474 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5937.88M | ETA:  3.7m
  Step    400/478 | ELBO Loss:  11.79 | CE: 5.772 | LR: 6.87e-05 |   0.6 st/s |    75,392 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5937.88M | ETA:  2.3m
  Step    450/478 | ELBO Loss:  11.77 | CE: 5.799 | LR: 4.38e-05 |   0.6 st/s |    75,037 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5857.88M | ETA:  0.8m
  Step    478/478 | ELBO Loss:  11.82 | CE: 5.822 | LR: 4.00e-05 |   0.6 st/s |    74,898 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5849.88M | ETA:  0.0m
  [UNDLM] Step      1/478 | ELBO Loss:  24.95 | CE: 9.023 | LR: 1.60e-05 |   0.6 st/s |    75,649 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5849.88M | ETA: 13.8m
  [UNDLM] Step     50/478 | ELBO Loss:  14.62 | CE: 5.870 | LR: 4.00e-04 |   0.6 st/s |    77,919 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5833.88M | ETA: 12.0m
  [UNDLM] Step    100/478 | ELBO Loss:  10.69 | CE: 4.707 | LR: 3.88e-04 |   0.6 st/s |    78,282 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5833.88M | ETA: 10.5m
  [UNDLM] Step    150/478 | ELBO Loss:   8.64 | CE: 4.059 | LR: 3.54e-04 |   0.6 st/s |    76,165 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5825.88M | ETA:  9.4m
  [UNDLM] Step    200/478 | ELBO Loss:   7.73 | CE: 3.722 | LR: 3.01e-04 |   0.6 st/s |    76,637 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5817.88M | ETA:  7.9m
  [UNDLM] Step    250/478 | ELBO Loss:   7.21 | CE: 3.575 | LR: 2.38e-04 |   0.6 st/s |    77,066 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5793.88M | ETA:  6.5m
  [UNDLM] Step    300/478 | ELBO Loss:   7.18 | CE: 3.558 | LR: 1.73e-04 |   0.6 st/s |    76,119 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5633.88M | ETA:  5.1m
  [UNDLM] Step    350/478 | ELBO Loss:   7.13 | CE: 3.558 | LR: 1.14e-04 |   0.6 st/s |    75,465 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5601.88M | ETA:  3.7m
  [UNDLM] Step    400/478 | ELBO Loss:   6.99 | CE: 3.470 | LR: 6.87e-05 |   0.6 st/s |    73,850 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 5946.50M | ETA:  2.3m
  [UNDLM] Step    450/478 | ELBO Loss:   6.87 | CE: 3.445 | LR: 4.38e-05 |   0.5 st/s |    71,622 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6392.19M | ETA:  0.9m
  [UNDLM] Step    478/478 | ELBO Loss:   7.02 | CE: 3.501 | LR: 4.00e-05 |   0.5 st/s |    70,947 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6509.00M | ETA:  0.0m
  [AR Baseline] Step      1/956 | Loss:   9.45 | CE: 9.447 | LR: 8.00e-06 |   0.6 st/s |    81,526 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6341.00M | ETA: 25.6m
  [AR Baseline] Step     50/956 | Loss:   7.02 | CE: 7.022 | LR: 2.04e-04 |   0.6 st/s |    81,198 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6341.00M | ETA: 24.4m
  [AR Baseline] Step    100/956 | Loss:   5.83 | CE: 5.833 | LR: 4.00e-04 |   0.6 st/s |    76,776 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6341.00M | ETA: 24.4m
  [AR Baseline] Step    150/956 | Loss:   5.14 | CE: 5.143 | LR: 3.97e-04 |   0.6 st/s |    75,565 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6333.00M | ETA: 23.3m
  [AR Baseline] Step    200/956 | Loss:   4.84 | CE: 4.843 | LR: 3.88e-04 |   0.6 st/s |    75,785 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6333.00M | ETA: 21.8m
  [AR Baseline] Step    250/956 | Loss:   4.48 | CE: 4.481 | LR: 3.73e-04 |   0.6 st/s |    75,367 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6333.00M | ETA: 20.5m
  [AR Baseline] Step    300/956 | Loss:   4.67 | CE: 4.667 | LR: 3.54e-04 |   0.6 st/s |    74,442 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6333.00M | ETA: 19.3m
  [AR Baseline] Step    350/956 | Loss:   4.59 | CE: 4.589 | LR: 3.29e-04 |   0.6 st/s |    74,188 tok/s | Metal Unified GPU: 0.08GB (Peak: 5.84GB) | Swap: 6333.00M | ETA: 17.8m
